Fecha | ID | Estado | Agente | Nombre Entidad
2019-05-09 | 20191397202 | Delinquent      | Dana Harris               | GLAXO BUSINESS GROUP INC., Delinquent October 1, 2021
2019-05-09 | 20191397224 | Delinquent      | Kevin Ollivierre          | VIVO VENTURE GROUP INC., Delinquent October 1, 2021
2019-05-09 | 20191397368 | Delinquent      | Midwin Francis            | RUNTRACK NETWORK SERVICES INC., Delinquent October 1, 2021
2019-05-09 | 20191397415 | Delinquent      | Denzel stange             | UTRADE EXPERT GROUP INC., Delinquent October 1, 2021
2019-05-09 | 20191396411 | Delinquent      | Ameneh Omidy              | CNH HIGHWAY NETWORKS INC., Delinquent October 1, 2022
2019-05-09 | 20191397395 | Delinquent      | Jada Lavon Ward           | EVO TRUE CONSULTING GROUP INC.
2019-05-10 | 20191398622 | Delinquent      | Armani Stonestreet        | HIKS HEALTHCARE GROUP INC., Delinquent October 1, 2021
2019-05-10 | 20191398648 | Delinquent      | Aminata Tall              | AMECO SUPPORT SYSTEMS INC., Delinquent October 1, 2021
2019-05-10 | 20191398683 | Delinquent      | Anthony Stricklin         | VIRTUALTECH VENTURE TEAM INC., Delinquent October 1, 2021
2019-05-10 | 20191398709 | Delinquent      | Denzel Stange             | VITO INTERNATIONAL GROUP INC., Delinquent October 1, 2021
2019-05-10 | 20191398738 | Delinquent      | CALEB LEVETTE             | TELTREE CONSULTING GROUP INC., Delinquent October 1, 2021
2019-05-10 | 20191398751 | Delinquent      | Ruby Nguyen               | EMAX FASHION INDUSTRIES INC., Delinquent October 1, 2021
2019-05-10 | 20191398766 | Delinquent      | Jamaal Johnson Jr         | SONYTECH CENTRAL MANAGEMENT INC., Delinquent October 1, 2021
2019-05-10 | 20191398669 | Delinquent      | Terryann Smith            | SOFTY FOOD MANUFACTURING INC., Delinquent March 1, 2022
2019-05-10 | 20191398727 | Delinquent      | Leonard Caldwell          | COREL TRUE VENTURE GROUP INC., Delinquent August 1, 2022
2019-09-18 | 20191741593 | Good Standing   | BENITO MARK POLLACK       | BLESSED ELECTRIC LLC
2020-01-24 | 20201074204 | Delinquent      | EDWARD HIDALGO            | NEXA TECHNICAL GROUP INC., Delinquent June 1, 2021
2020-01-27 | 20201087115 | Delinquent      | EDWARD HIDALGO            | SECTORSIX TECHNOLOGIES INC., Delinquent June 1, 2021
2020-02-04 | 20201117299 | Delinquent      | EDWARD HIDALGO            | MARKTECH TECHNICAL GROUP INC., Delinquent July 1, 2021
2020-02-12 | 20201134986 | Delinquent      | EDWARD HIDALGO            | CLASSICAL BUSINESS GROUP INC., Delinquent July 1, 2021
2020-02-12 | 20201135777 | Delinquent      | EDWARD HIDALGO            | ZTECH INTERNATIONAL GROUP INC., Delinquent July 1, 2021
2020-02-12 | 20201135789 | Delinquent      | EDWARD HIDALGO            | SUNLIGHT SUPPORT SYSTEM INC., Delinquent July 1, 2022
2020-02-12 | 20201135806 | Delinquent      | EDWARD HIDALGO            | GREENTREE VENTURE GROUP INC., Delinquent July 1, 2021
2020-02-12 | 20201135827 | Delinquent      | EDWARD HIDALGO            | HIGHROCKET BUSINESS SOLUTIONS INC., Delinquent July 1, 2021
